Pin,Bank,BUFIO2,Pin Description 
N22,1,RB,IO_L47N_LDC_M1DQ1_1 
P21,1,RB,IO_L48P_HDC_M1DQ8_1 
P22,1,RB,IO_L48N_M1DQ9_1 
R20,1,RB,IO_L49P_M1DQ10_1 
R22,1,RB,IO_L49N_M1DQ11_1 
T21,1,RB,IO_L50P_M1UDQS_1 
T22,1,RB,IO_L50N_M1UDQSN_1 
U20,1,RB,IO_L51P_M1DQ12_1 
U22,1,RB,IO_L51N_M1DQ13_1 
V21,1,RB,IO_L52P_M1DQ14_1 
V22,1,RB,IO_L52N_M1DQ15_1 
W20,1,RB,IO_L53P_1 
W22,1,RB,IO_L53N_VREF_1 
M16,1,RB,IO_L58P_1 
M17,1,RB,IO_L58N_1 
Y21,1,RB,IO_L59P_1 
Y22,1,RB,IO_L59N_1 
N15,1,RB,IO_L60P_1 
N16,1,RB,IO_L60N_1 
AA20,1,RB,IO_L61P_1 
AB21,1,RB,IO_L61N_1 
P15,1,RB,IO_L62P_1 
P16,1,RB,IO_L62N_1 
AA21,1,RB,IO_L63P_1 
AA22,1,RB,IO_L63N_1 
P19,1,RB,IO_L64P_1 
P20,1,RB,IO_L64N_1 
AB19,1,RB,IO_L65P_1 
AB20,1,RB,IO_L65N_1 
P17,1,RB,IO_L66P_1 
P18,1,RB,IO_L66N_1 
Y19,1,RB,IO_L67P_1 
Y20,1,RB,IO_L67N_1 
R15,1,RB,IO_L68P_1 
R16,1,RB,IO_L68N_1 
R17,1,RB,IO_L70P_1 
R19,1,RB,IO_L70N_1 
V19,1,RB,IO_L71P_1 
V20,1,RB,IO_L71N_1 
T17,1,RB,IO_L72P_1 
T18,1,RB,IO_L72N_1 
V17,1,RB,IO_L73P_1 
V18,1,RB,IO_L73N_1 
T19,1,RB,IO_L74P_AWAKE_1 
T20,1,RB,IO_L74N_DOUT_BUSY_1 
U19,NA,NA,VFS 
T16,NA,NA,RFUSE 
U17,NA,NA,VBATT 
W18,NA,NA,SUSPEND 
T15,2,NA,CMPCS_B_2 
U16,2,NA,DONE_2 
W17,2,BR,IO_L1P_CCLK_2 
Y18,2,BR,IO_L1N_M0_CMPMISO_2 
AA18,2,BR,IO_L2P_CMPCLK_2 
AB18,2,BR,IO_L2N_CMPMOSI_2 
Y17,2,BR,IO_L3P_D0_DIN_MISO_MISO1_2 
AB17,2,BR,IO_L3N_MOSI_CSI_B_MISO0_2 
AA16,2,BR,IO_L4P_2 
AB16,2,BR,IO_L4N_VREF_2 
Y15,2,BR,IO_L5P_2 
AB15,2,BR,IO_L5N_2 
V13,2,BR,IO_L12P_D1_MISO2_2 
W13,2,BR,IO_L12N_D2_MISO3_2 
U15,2,BR,IO_L13P_M1_2 
V15,2,BR,IO_L13N_D10_2 
W15,2,BR,IO_L14P_D11_2 
Y16,2,BR,IO_L14N_D12_2 
AA14,2,BR,IO_L15P_2 
AB14,2,BR,IO_L15N_2 
W14,2,BR,IO_L16P_2 
Y14,2,BR,IO_L16N_VREF_2 
T14,2,BR,IO_L20P_2 
U14,2,BR,IO_L20N_2 
W11,2,BR,IO_L29P_GCLK3_2 
Y10,2,BR,IO_L29N_GCLK2_2 
AA12,2,BR,IO_L30P_GCLK1_D13_2 
AB12,2,BR,IO_L30N_GCLK0_USERCCLK_2 
Y11,2,BL,IO_L31P_GCLK31_D14_2 
AB11,2,BL,IO_L31N_GCLK30_D15_2 
AA10,2,BL,IO_L32P_GCLK29_2 
AB10,2,BL,IO_L32N_GCLK28_2 
R13,2,BL,IO_L33P_2 
U13,2,BL,IO_L33N_2 
T12,2,BL,IO_L34P_2 
U12,2,BL,IO_L34N_2 
Y13,2,BL,IO_L41P_2 
AB13,2,BL,IO_L41N_VREF_2 
W12,2,BL,IO_L42P_2 
Y12,2,BL,IO_L42N_2 
R11,NOPAD/UNCONNECTED  
T11,NOPAD/UNCONNECTED  
V11,NOPAD/UNCONNECTED  
W10,NOPAD/UNCONNECTED  
T10,NOPAD/UNCONNECTED  
U10,NOPAD/UNCONNECTED  
U9,NOPAD/UNCONNECTED  
V9,NOPAD/UNCONNECTED  
W9,2,BL,IO_L47P_2 
Y8,2,BL,IO_L47N_2 
Y9,2,BL,IO_L48P_D7_2 
AB9,2,BL,IO_L48N_RDWR_B_VREF_2 
AA8,2,BL,IO_L49P_D3_2 
AB8,2,BL,IO_L49N_D4_2 
V7,NOPAD/UNCONNECTED  
W8,NOPAD/UNCONNECTED  
W6,2,BL,IO_L62P_D5_2 
Y6,2,BL,IO_L62N_D6_2 
Y7,2,BL,IO_L63P_2 
AB7,2,BL,IO_L63N_2 
AA6,2,BL,IO_L64P_D8_2 
AB6,2,BL,IO_L64N_D9_2 
Y5,2,BL,IO_L65P_INIT_B_2 
AB5,2,BL,IO_L65N_CSO_B_2 
