Device/Package xc7z020clg484 9/18/2012 10:07:35                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
T12   DONE_0                   NA                 0     NA            NA                  CONFIG    NA
N11   DXP_0                    NA                 0     NA            NA                  CONFIG    NA
K12   GNDADC_0                 NA                 0     NA            NA                  CONFIG    NA
K11   VCCADC_0                 NA                 0     NA            NA                  CONFIG    NA
M11   VREFP_0                  NA                 0     NA            NA                  CONFIG    NA
M12   VN_0                     NA                 0     NA            NA                  CONFIG    NA
G9    VCCBATT_0                NA                 0     NA            NA                  CONFIG    NA
G11   TCK_0                    NA                 0     NA            NA                  CONFIG    NA
N12   DXN_0                    NA                 0     NA            NA                  CONFIG    NA
L12   VREFN_0                  NA                 0     NA            NA                  CONFIG    NA
L11   VP_0                     NA                 0     NA            NA                  CONFIG    NA
G10   RSVDGND                  NA                 0     NA            NA                  CONFIG    NA
T10   RSVDVCC3                 NA                 0     NA            NA                  CONFIG    NA
T8    RSVDVCC2                 NA                 0     NA            NA                  CONFIG    NA
T14   INIT_B_0                 NA                 0     NA            NA                  CONFIG    NA
H13   TDI_0                    NA                 0     NA            NA                  CONFIG    NA
G14   TDO_0                    NA                 0     NA            NA                  CONFIG    NA
T7    RSVDVCC1                 NA                 0     NA            NA                  CONFIG    NA
T13   CFGBVS_0                 NA                 0     NA            NA                  CONFIG    NA
T11   PROGRAM_B_0              NA                 0     NA            NA                  CONFIG    NA
G12   TMS_0                    NA                 0     NA            NA                  CONFIG    NA
R7    IO_0_13                  NA                 13    NA            NA                  HR        7Z010
V10   IO_L1P_T0_13             0                  13    NA            NA                  HR        7Z010
V9    IO_L1N_T0_13             0                  13    NA            NA                  HR        7Z010
V8    IO_L2P_T0_13             0                  13    NA            NA                  HR        7Z010
W8    IO_L2N_T0_13             0                  13    NA            NA                  HR        7Z010
W11   IO_L3P_T0_DQS_13         0                  13    NA            NA                  HR        7Z010
W10   IO_L3N_T0_DQS_13         0                  13    NA            NA                  HR        7Z010
V12   IO_L4P_T0_13             0                  13    NA            NA                  HR        7Z010
W12   IO_L4N_T0_13             0                  13    NA            NA                  HR        7Z010
U12   IO_L5P_T0_13             0                  13    NA            NA                  HR        7Z010
U11   IO_L5N_T0_13             0                  13    NA            NA                  HR        7Z010
U10   IO_L6P_T0_13             0                  13    NA            NA                  HR        7Z010
U9    IO_L6N_T0_VREF_13        0                  13    NA            NA                  HR        7Z010
AA12  IO_L7P_T1_13             1                  13    NA            NA                  HR        7Z010
AB12  IO_L7N_T1_13             1                  13    NA            NA                  HR        7Z010
AA11  IO_L8P_T1_13             1                  13    NA            NA                  HR        7Z010
AB11  IO_L8N_T1_13             1                  13    NA            NA                  HR        7Z010
AB10  IO_L9P_T1_DQS_13         1                  13    NA            NA                  HR        7Z010
AB9   IO_L9N_T1_DQS_13         1                  13    NA            NA                  HR        7Z010
Y11   IO_L10P_T1_13            1                  13    NA            NA                  HR        7Z010
Y10   IO_L10N_T1_13            1                  13    NA            NA                  HR        7Z010
AA9   IO_L11P_T1_SRCC_13       1                  13    NA            NA                  HR        7Z010
AA8   IO_L11N_T1_SRCC_13       1                  13    NA            NA                  HR        7Z010
Y9    IO_L12P_T1_MRCC_13       1                  13    NA            NA                  HR        7Z010
