Device/Package xc7z045fbg676 9/18/2012 10:02:27                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
AB22  IO_L9N_T1_DQS_13         1                  13    NA            NA                  HR        NA
AA22  IO_L10P_T1_13            1                  13    NA            NA                  HR        NA
AA23  IO_L10N_T1_13            1                  13    NA            NA                  HR        NA
AD23  IO_L11P_T1_SRCC_13       1                  13    NA            NA                  HR        NA
AD24  IO_L11N_T1_SRCC_13       1                  13    NA            NA                  HR        NA
AC23  IO_L12P_T1_MRCC_13       1                  13    NA            NA                  HR        NA
AC24  IO_L12N_T1_MRCC_13       1                  13    NA            NA                  HR        NA
AD20  IO_L13P_T2_MRCC_13       2                  13    NA            NA                  HR        NA
AD21  IO_L13N_T2_MRCC_13       2                  13    NA            NA                  HR        NA
AC21  IO_L14P_T2_SRCC_13       2                  13    NA            NA                  HR        NA
AC22  IO_L14N_T2_SRCC_13       2                  13    NA            NA                  HR        NA
AF19  IO_L15P_T2_DQS_13        2                  13    NA            NA                  HR        NA
AF20  IO_L15N_T2_DQS_13        2                  13    NA            NA                  HR        NA
AE20  IO_L16P_T2_13            2                  13    NA            NA                  HR        NA
AE21  IO_L16N_T2_13            2                  13    NA            NA                  HR        NA
AD18  IO_L17P_T2_13            2                  13    NA            NA                  HR        NA
AD19  IO_L17N_T2_13            2                  13    NA            NA                  HR        NA
AE18  IO_L18P_T2_13            2                  13    NA            NA                  HR        NA
AF18  IO_L18N_T2_13            2                  13    NA            NA                  HR        NA
W20   IO_L19P_T3_13            3                  13    NA            NA                  HR        NA
Y20   IO_L19N_T3_VREF_13       3                  13    NA            NA                  HR        NA
AA20  IO_L20P_T3_13            3                  13    NA            NA                  HR        NA
AB20  IO_L20N_T3_13            3                  13    NA            NA                  HR        NA
AC18  IO_L21P_T3_DQS_13        3                  13    NA            NA                  HR        NA
AC19  IO_L21N_T3_DQS_13        3                  13    NA            NA                  HR        NA
AA19  IO_L22P_T3_13            3                  13    NA            NA                  HR        NA
AB19  IO_L22N_T3_13            3                  13    NA            NA                  HR        NA
W18   IO_L23P_T3_13            3                  13    NA            NA                  HR        NA
W19   IO_L23N_T3_13            3                  13    NA            NA                  HR        NA
Y18   IO_L24P_T3_13            3                  13    NA            NA                  HR        NA
AA18  IO_L24N_T3_13            3                  13    NA            NA                  HR        NA
V18   IO_25_13                 NA                 13    NA            NA                  HR        NA
L9    IO_0_VRN_33              NA                 33    NA            NA                  HP        NA
G4    IO_L1P_T0_33             0                  33    NA            NA                  HP        NA
F4    IO_L1N_T0_33             0                  33    NA            NA                  HP        NA
D4    IO_L2P_T0_33             0                  33    NA            NA                  HP        NA
D3    IO_L2N_T0_33             0                  33    NA            NA                  HP        NA
G2    IO_L3P_T0_DQS_33         0                  33    NA            NA                  HP        NA
F2    IO_L3N_T0_DQS_33         0                  33    NA            NA                  HP        NA
D1    IO_L4P_T0_33             0                  33    NA            NA                  HP        NA
C1    IO_L4N_T0_33             0                  33    NA            NA                  HP        NA
E2    IO_L5P_T0_33             0                  33    NA            NA                  HP        NA
E1    IO_L5N_T0_33             0                  33    NA            NA                  HP        NA
F3    IO_L6P_T0_33             0                  33    NA            NA                  HP        NA
E3    IO_L6N_T0_VREF_33        0                  33    NA            NA                  HP        NA
J1    IO_L7P_T1_33             1                  33    NA            NA                  HP        NA
H1    IO_L7N_T1_33             1                  33    NA            NA                  HP        NA
H4    IO_L8P_T1_33             1                  33    NA            NA                  HP        NA
H3    IO_L8N_T1_33             1                  33    NA            NA                  HP        NA
K2    IO_L9P_T1_DQS_33         1                  33    NA            NA                  HP        NA
K1    IO_L9N_T1_DQS_33         1                  33    NA            NA                  HP        NA
H2    IO_L10P_T1_33            1                  33    NA            NA                  HP        NA
G1    IO_L10N_T1_33            1                  33    NA            NA                  HP        NA
L3    IO_L11P_T1_SRCC_33       1                  33    NA            NA                  HP        NA
K3    IO_L11N_T1_SRCC_33       1                  33    NA            NA                  HP        NA
J4    IO_L12P_T1_MRCC_33       1                  33    NA            NA                  HP        NA
J3    IO_L12N_T1_MRCC_33       1                  33    NA            NA                  HP        NA
M6    IO_L13P_T2_MRCC_33       2                  33    NA            NA                  HP        NA
M5    IO_L13N_T2_MRCC_33       2                  33    NA            NA                  HP        NA
L5    IO_L14P_T2_SRCC_33       2                  33    NA            NA                  HP        NA
L4    IO_L14N_T2_SRCC_33       2                  33    NA            NA                  HP        NA
N3    IO_L15P_T2_DQS_33        2                  33    NA            NA                  HP        NA
N2    IO_L15N_T2_DQS_33        2                  33    NA            NA                  HP        NA
M2    IO_L16P_T2_33            2                  33    NA            NA                  HP        NA
