Device/Package xc7k410tfbg900 8/10/2011 13:59:40,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
U14,DXN_0,NA,0,NA,NA,CONFIG,NA
P15,VCCADC_0,NA,0,NA,NA,CONFIG,NA
P14,GNDADC_0,NA,0,NA,NA,CONFIG,NA
U15,DXP_0,NA,0,NA,NA,CONFIG,NA
R14,VREFN_0,NA,0,NA,NA,CONFIG,NA
T15,VREFP_0,NA,0,NA,NA,CONFIG,NA
R15,VP_0,NA,0,NA,NA,CONFIG,NA
T14,VN_0,NA,0,NA,NA,CONFIG,NA
C10,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
B10,CCLK_0,NA,0,NA,NA,CONFIG,NA
E10,TCK_0,NA,0,NA,NA,CONFIG,NA
F10,TMS_0,NA,0,NA,NA,CONFIG,NA
G10,TDO_0,NA,0,NA,NA,CONFIG,NA
H10,TDI_0,NA,0,NA,NA,CONFIG,NA
A10,INIT_B_0,NA,0,NA,NA,CONFIG,NA
K10,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
L10,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
M10,DONE_0,NA,0,NA,NA,CONFIG,NA
AB1,M2_0,NA,0,NA,NA,CONFIG,NA
AB5,M0_0,NA,0,NA,NA,CONFIG,NA
AB2,M1_0,NA,0,NA,NA,CONFIG,NA
Y20,IO_0_12,NA,12,NA,NA,HR,NA
Y23,IO_L1P_T0_12,0,12,NA,NA,HR,NA
Y24,IO_L1N_T0_12,0,12,NA,NA,HR,NA
Y21,IO_L2P_T0_12,0,12,NA,NA,HR,NA
AA21,IO_L2N_T0_12,0,12,NA,NA,HR,NA
AB22,IO_L3P_T0_DQS_12,0,12,NA,NA,HR,NA
AB23,IO_L3N_T0_DQS_12,0,12,NA,NA,HR,NA
AA22,IO_L4P_T0_12,0,12,NA,NA,HR,NA
AA23,IO_L4N_T0_12,0,12,NA,NA,HR,NA
AC20,IO_L5P_T0_12,0,12,NA,NA,HR,NA
