Device/Package xc7z045ffg900 9/18/2012 09:53:04                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
AJ21  IO_L3P_T0_DQS_11         0                  11    NA            NA                  HR        NA
AK21  IO_L3N_T0_DQS_11         0                  11    NA            NA                  HR        NA
AJ23  IO_L4P_T0_11             0                  11    NA            NA                  HR        NA
AJ24  IO_L4N_T0_11             0                  11    NA            NA                  HR        NA
AH23  IO_L5P_T0_11             0                  11    NA            NA                  HR        NA
AH24  IO_L5N_T0_11             0                  11    NA            NA                  HR        NA
AG22  IO_L6P_T0_11             0                  11    NA            NA                  HR        NA
AH22  IO_L6N_T0_VREF_11        0                  11    NA            NA                  HR        NA
AC24  IO_L7P_T1_11             1                  11    NA            NA                  HR        NA
AD24  IO_L7N_T1_11             1                  11    NA            NA                  HR        NA
AG24  IO_L8P_T1_11             1                  11    NA            NA                  HR        NA
AG25  IO_L8N_T1_11             1                  11    NA            NA                  HR        NA
AF23  IO_L9P_T1_DQS_11         1                  11    NA            NA                  HR        NA
AF24  IO_L9N_T1_DQS_11         1                  11    NA            NA                  HR        NA
AD21  IO_L10P_T1_11            1                  11    NA            NA                  HR        NA
AE21  IO_L10N_T1_11            1                  11    NA            NA                  HR        NA
AD23  IO_L11P_T1_SRCC_11       1                  11    NA            NA                  HR        NA
AE23  IO_L11N_T1_SRCC_11       1                  11    NA            NA                  HR        NA
AE22  IO_L12P_T1_MRCC_11       1                  11    NA            NA                  HR        NA
AF22  IO_L12N_T1_MRCC_11       1                  11    NA            NA                  HR        NA
AG21  IO_L13P_T2_MRCC_11       2                  11    NA            NA                  HR        NA
AH21  IO_L13N_T2_MRCC_11       2                  11    NA            NA                  HR        NA
AF20  IO_L14P_T2_SRCC_11       2                  11    NA            NA                  HR        NA
AG20  IO_L14N_T2_SRCC_11       2                  11    NA            NA                  HR        NA
AJ20  IO_L15P_T2_DQS_11        2                  11    NA            NA                  HR        NA
AK20  IO_L15N_T2_DQS_11        2                  11    NA            NA                  HR        NA
AK17  IO_L16P_T2_11            2                  11    NA            NA                  HR        NA
AK18  IO_L16N_T2_11            2                  11    NA            NA                  HR        NA
AH19  IO_L17P_T2_11            2                  11    NA            NA                  HR        NA
AJ19  IO_L17N_T2_11            2                  11    NA            NA                  HR        NA
AF19  IO_L18P_T2_11            2                  11    NA            NA                  HR        NA
AG19  IO_L18N_T2_11            2                  11    NA            NA                  HR        NA
AB21  IO_L19P_T3_11            3                  11    NA            NA                  HR        NA
AB22  IO_L19N_T3_VREF_11       3                  11    NA            NA                  HR        NA
W21   IO_L20P_T3_11            3                  11    NA            NA                  HR        NA
Y21   IO_L20N_T3_11            3                  11    NA            NA                  HR        NA
Y22   IO_L21P_T3_DQS_11        3                  11    NA            NA                  HR        NA
Y23   IO_L21N_T3_DQS_11        3                  11    NA            NA                  HR        NA
AA24  IO_L22P_T3_11            3                  11    NA            NA                  HR        NA
AB24  IO_L22N_T3_11            3                  11    NA            NA                  HR        NA
AA22  IO_L23P_T3_11            3                  11    NA            NA                  HR        NA
AA23  IO_L23N_T3_11            3                  11    NA            NA                  HR        NA
AC22  IO_L24P_T3_11            3                  11    NA            NA                  HR        NA
AC23  IO_L24N_T3_11            3                  11    NA            NA                  HR        NA
AC21  IO_25_11                 NA                 11    NA            NA                  HR        NA
